District,Status1,Party1,Actual1,Predicted1,Error1,Status2,Party2,Actual2,Predicted2,Error2,Correct,CorrectNum
OH-16,Incumbent,R,65.4,62.004,-3.396,Challenger,D,34.6,40.464,5.864,True,10
OK-02,Incumbent,R,70.6,68.167,-2.433,Challenger,D,23.2,34.221,11.021,True,10
OK-03,Incumbent,R,78.3,78.504,0.204,Challenger,D,21.7,24.393,2.693,True,10
OK-04,Incumbent,R,69.6,83.107,13.507,Challenger,D,26.1,30.772,4.672,True,10
OK-05,Incumbent,R,57.1,73.878,16.778,Challenger,D,36.8,38.653,1.853,True,10
OR-01,Incumbent,D,59.6,61.676,2.076,Challenger,R,37.3,39.532,2.232,True,10
OR-02,Incumbent,R,72.1,70.376,-1.724,Challenger,D,27.9,31.994,4.094,True,10
OR-03,Incumbent,D,72.6,72.535,-0.065,,,0,0,0,True,10
OR-04,Incumbent,D,55.5,59.498,3.998,Challenger,R,39.8,41.684,1.884,True,10
OR-05,Incumbent,D,53.6,58.564,4.964,Challenger,R,43.2,43.637,0.437,True,10
PA-01,Incumbent,D,82.2,89.764,7.564,Challenger,R,17.8,23.067,5.267,True,10
PA-02,Challenger,D,90.2,39.127,-51.073,Challenger,R,9.8,17.095,7.295,True,10
PA-04,Incumbent,R,66.1,64.355,-1.745,Challenger,D,33.9,37.335,3.435,True,10
PA-05,Incumbent,R,67.3,66.826,-0.474,Challenger,D,32.7,32.891,0.191,True,10
PA-06,Incumbent,R,57.3,59.75,2.45,Challenger,D,42.7,42.838,0.138,True,10
PA-07,Incumbent,R,59.7,59.837,0.137,Challenger,D,40.3,42.319,2.019,True,10
PA-08,Challenger,R,54.5,51.817,-2.683,Challenger,D,45.5,43.285,-2.215,True,10
PA-09,Incumbent,R,63.4,66.06,2.66,Challenger,D,36.6,32.502,-4.098,True,10
PA-10,Incumbent,R,70.3,64.351,-5.949,Challenger,D,29.7,35.212,5.512,True,10
PA-11,Incumbent,R,63.7,60.923,-2.777,Challenger,D,36.3,40.124,3.824,True,10
PA-12,Incumbent,R,61.9,61.31,-0.59,Challenger,D,38.1,39.794,1.694,True,10
PA-14,Incumbent,D,74.3,77.163,2.863,Challenger,R,25.7,30.372,4.672,True,10
PA-15,Incumbent,R,58.4,67.584,9.184,Challenger,D,38,41.801,3.801,True,10
PA-16,Challenger,R,53.9,45.249,-8.651,Challenger,D,42.7,39.849,-2.851,True,10
PA-17,Incumbent,D,53.8,59.048,5.248,Challenger,R,46.2,44.101,-2.099,True,10
RI-01,Incumbent,D,64.7,59.862,-4.838,Challenger,R,35.3,43.066,7.766,True,10
RI-02,Incumbent,D,58.2,60.846,2.646,Challenger,R,30.8,39.351,8.551,True,10
SC-01,Incumbent,R,58.6,73.23,14.63,Challenger,D,36.9,36.194,-0.706,True,10
SC-02,Incumbent,R,60.3,66.993,6.693,Challenger,D,35.9,38.053,2.153,True,10
SC-03,Incumbent,R,72.9,67.529,-5.371,Challenger,D,27.1,35.06,7.96,True,10
SC-04,Incumbent,R,67.2,71.158,3.958,Challenger,D,31.1,35.456,4.356,True,10
SC-05,Incumbent,R,59.1,60.694,1.594,Challenger,D,38.8,40.339,1.539,True,10
SC-06,Incumbent,D,70.2,68.488,-1.712,Challenger,R,27.6,42.484,14.884,True,10
SC-07,Incumbent,R,60.7,63.119,2.419,Challenger,D,39.3,42.522,3.222,True,10
SD-00,Incumbent,R,64.1,61.773,-2.327,Challenger,D,35.9,40,4.1,True,10
TN-01,Incumbent,R,78.4,77.681,-0.719,Challenger,D,15.4,25.805,10.405,True,10
TN-02,Incumbent,R,75.6,73.898,-1.702,Challenger,D,24.4,24.978,0.578,True,10
TN-03,Incumbent,R,66.4,63.848,-2.552,Challenger,D,28.8,35.676,6.876,True,10
TN-04,Incumbent,R,65,59.445,-5.555,Challenger,D,35,39.058,4.058,True,10
TN-05,Incumbent,D,62.5,61.613,-0.887,Challenger,R,37.5,39.708,2.208,True,10
TN-06,Incumbent,R,71.1,73.386,2.286,Challenger,D,21.8,30.76,8.96,True,10
TN-07,Incumbent,R,72.2,68.998,-3.202,Challenger,D,23.5,30.303,6.803,True,10
TN-08,Challenger,R,68.8,48.659,-20.141,Challenger,D,25.1,33.842,8.742,True,10
TN-09,Incumbent,D,78.8,74.109,-4.691,Challenger,R,18.8,28.852,10.052,True,10
TX-01,Incumbent,R,73.9,77.92,4.02,Challenger,D,24.1,24.617,0.517,True,10
TX-02,Incumbent,R,60.6,75.99,15.39,Challenger,D,36,33.965,-2.035,True,10
TX-03,Incumbent,R,61.3,75.039,13.739,Challenger,D,34.5,33.725,-0.775,True,10
TX-04,Incumbent,R,88,70.571,-17.429,,,0,0,0,True,10
TX-05,Incumbent,R,80.6,69.949,-10.651,,,0,0,0,True,10
TX-06,Incumbent,R,58.3,64.719,6.419,Challenger,D,39,34.489,-4.511,True,10
TX-07,Incumbent,R,56.2,76.931,20.731,Challenger,D,43.8,35.471,-8.329,True,10
TX-09,Incumbent,D,80.6,82.676,2.076,Challenger,R,19.4,29.84,10.44,True,10
TX-10,Incumbent,R,57.4,64.364,6.964,Challenger,D,38.4,34.629,-3.771,True,10
TX-11,Incumbent,R,89.5,74.915,-14.585,,,0,0,0,True,10
TX-12,Incumbent,R,69.4,68.283,-1.117,Challenger,D,26.8,27.817,1.017,True,10
TX-13,Incumbent,R,90,79.86,-10.14,,,0,0,0,True,10
TX-14,Incumbent,R,61.9,65.541,3.641,Challenger,D,38.1,31.751,-6.349,True,10
TX-15,Challenger,D,57.3,54.243,-3.057,Challenger,R,37.7,43.802,6.102,True,10
TX-16,Incumbent,D,85.8,67.986,-17.814,,,0,0,0,True,10
TX-17,Incumbent,R,60.8,65.895,5.095,Challenger,D,35.2,36.152,0.952,True,10
TX-18,Incumbent,D,73.5,76.272,2.772,Challenger,R,23.6,33.017,9.417,True,10
TX-19,Challenger,R,86.7,42.218,-44.482,,,0,0,0,True,10
TX-20,Incumbent,D,79.7,75.788,-3.912,,,0,0,0,True,10
TX-21,Incumbent,R,57,70.051,13.051,Challenger,D,36.4,32.268,-4.132,True,10
TX-22,Incumbent,R,59.5,66.609,7.109,Challenger,D,40.5,32.561,-7.939,True,10
TX-23,Incumbent,R,48.5,56.69,8.19,Challenger,D,46.8,47.008,0.208,True,10
TX-24,Incumbent,R,56.2,77.112,20.912,Challenger,D,39.3,34.246,-5.054,True,10
TX-25,Incumbent,R,58.4,65.136,6.736,Challenger,D,37.7,35.762,-1.938,True,10
TX-26,Incumbent,R,66.3,71.89,5.59,Challenger,D,29.6,31.79,2.19,True,10
TX-27,Incumbent,R,61.7,63.264,1.564,Challenger,D,38.3,37.367,-0.933,True,10
TX-28,Incumbent,D,66.2,72.409,6.209,Challenger,R,31.3,42.166,10.866,True,10
TX-29,Incumbent,D,72.5,81.21,8.71,Challenger,R,24,42.591,18.591,True,10
TX-30,Incumbent,D,77.9,82.374,4.474,Challenger,R,19,31.302,12.302,True,10
TX-31,Incumbent,R,58.4,75.509,17.109,Challenger,D,36.5,33.636,-2.864,True,10
TX-32,Incumbent,R,71.1,65.027,-6.073,,,0,0,0,True,10
TX-33,Incumbent,D,73.7,81.603,7.903,Challenger,R,26.3,42.247,15.947,True,10
TX-34,Incumbent,D,62.7,61.812,-0.888,Challenger,R,37.3,45.013,7.713,True,10
TX-35,Incumbent,D,63.1,68.648,5.548,Challenger,R,31.6,38.655,7.055,True,10
TX-36,Incumbent,R,88.7,69.734,-18.966,,,0,0,0,True,10
UT-01,Incumbent,R,65.4,66.633,1.233,Challenger,D,27.2,28.593,1.393,True,10
UT-02,Incumbent,R,61.5,60.347,-1.153,Challenger,D,34.1,39.864,5.764,True,10
UT-03,Incumbent,R,73.3,67.872,-5.428,Challenger,D,26.7,26.375,-0.325,True,10
UT-04,Incumbent,R,53.5,61.786,8.286,Challenger,D,41.7,42.087,0.387,True,10
VT-00,Incumbent,D,90,67.647,-22.353,,,0,0,0,True,10
VA-01,Incumbent,R,60.9,64.186,3.286,Challenger,D,35.8,39.337,3.537,True,10
VA-02,Challenger,R,61.7,47.537,-14.163,Challenger,D,38.3,43.075,4.775,True,10
VA-03,Incumbent,D,66.9,75.919,9.019,Challenger,R,33.1,31.605,-1.495,True,10
VA-04,Challenger,D,57.3,42.911,-14.389,Challenger,R,42.7,46.028,3.328,False,0
VA-05,Challenger,R,58.3,47.396,-10.904,Challenger,D,41.7,42.273,0.573,True,10
VA-06,Incumbent,R,66.7,81.651,14.951,Challenger,D,33.3,39.26,5.96,True,10
VA-07,Incumbent,R,57.9,63.65,5.75,Challenger,D,42.1,40.735,-1.365,True,10
VA-08,Incumbent,D,68.6,63.582,-5.018,Challenger,R,27.4,39.006,11.606,True,10
VA-09,Incumbent,R,68.7,72.928,4.228,Challenger,D,28.4,40.953,12.553,True,10
VA-10,Incumbent,R,52.9,66.684,13.784,Challenger,D,47.1,39.729,-7.371,True,10
WA-01,Incumbent,D,55.5,58.999,3.499,Challenger,R,44.5,43.702,-0.798,True,10
WA-02,Incumbent,D,64,59.214,-4.786,Challenger,R,36,41.685,5.685,True,10
WA-03,Incumbent,R,61.4,62.247,0.847,Challenger,D,38.6,44.73,6.13,True,10
WA-04,Incumbent,R,57.4,67.615,10.215,Challenger,R,42.6,63.194,20.594,True,10
WA-05,Incumbent,R,59.5,63.015,3.515,Challenger,D,40.5,42.621,2.121,True,10
WA-06,Incumbent,D,61.7,61.776,0.076,Challenger,R,38.3,42.837,4.537,True,10
WA-07,Challenger,D,56.1,42.143,-13.957,Challenger,D,43.9,42.143,-1.757,False,0
WA-08,Incumbent,R,60,59.846,-0.154,Challenger,D,40,43.09,3.09,True,10
WA-09,Incumbent,D,73,66.319,-6.681,Challenger,R,27,35.467,8.467,True,10
WA-10,Incumbent,D,58.7,61.662,2.962,Challenger,R,41.3,44.751,3.451,True,10
WV-01,Incumbent,R,69,63.594,-5.406,Challenger,D,31,42.964,11.964,True,10
WV-02,Incumbent,R,58.2,64.702,6.502,Challenger,D,41.8,41.011,-0.789,True,10
WV-03,Incumbent,R,67.9,63.06,-4.84,Challenger,D,24,41.709,17.709,True,10
WI-01,Incumbent,R,65,64.597,-0.403,Challenger,D,30.2,37.443,7.243,True,10
WI-02,Incumbent,D,68.7,61.452,-7.248,Challenger,R,31.3,37.162,5.862,True,10
WI-04,Incumbent,D,77,66.2,-10.8,Challenger,D,0,0,0,True,10
WI-05,Incumbent,R,66.8,67.971,1.171,Challenger,D,29.3,34.246,4.946,True,10
WI-06,Incumbent,R,57.2,65.213,8.013,Challenger,D,37.3,39.401,2.101,True,10
WI-07,Incumbent,R,61.8,59.69,-2.11,Challenger,D,38.2,43.608,5.408,True,10
WI-08,Challenger,R,62.7,50.433,-12.267,Challenger,D,37.3,42.12,4.82,True,10
WY-00,Challenger,R,62.2,42.549,-19.651,Challenger,D,30.1,29.66,-0.44,True,10
